"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U2";"L86-M33";1;"L86-M33";;;
2;"K2";"CR1220_HOLDER";1;"CR1220_HOLDER";;;
3;"R6";"0603R";1;"47k";;;
4;"H3,H4,H2,H1";"HOLE_3.2mm";4;"HOLE_3.2mm";;;
5;"R10,R9";"0402R";2;"2k2";;;
6;"U3";"SOT-23-5";1;"SE5218";;;
7;"C3,C4";"0603C";2;"2u2";;;
8;"JP3,JP4,JP1";"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";3;"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";;;
9;"C1";"0603C";1;"100n";;;
10;"Q1";"SOT-23-3";1;"NPN-SOT-23-3";;;
11;"R4,R5,R3,R8,R7";"0603R";5;"10k";;;
12;"U1";"SOT-363";1;"NMOS-DUAL";;;
13;"K3";"HEADER_MALE_8X1";1;"HEADER_MALE_8X1";;;
14;"D1,D2";"M4_DIODA";2;"M4_DIODA";;;
15;"D4";"0402LED";1;"blue";;;
16;"R2";"0603R";1;"4k7";;;
17;"K1";"Antenna Connector";1;"Antenna Connector";;;
18;"R1";"0603R";1;"5k1";;;
19;"C2";"1206C";1;"10u";;;
20;"JP2";"SMD_JUMPER";1;"SMD_JUMPER";;;
21;"D3";"0402LED";1;"purple";;;
